token_symbol,fallback_provider_unavailable,true_data_gap,expected_post_delisting_missing,low_liquidity_fallback,suspicious_fallback_spike,fallback_exchange,fallback_pair,fallback_rows_count,fallback_quote_volume,reason,notes
CVX,no,no,no,no,no,,,0,,,
CYBER,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
DAM,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
DAR,no,yes,no,no,no,,,0,,true_data_gap,
DASH,no,no,no,no,no,,,0,,,
DATA,no,no,no,no,no,ccxt_kucoin,DATA/USDT,240,17485342.77981095,,
DCR,no,no,no,no,no,,,0,,,
DEFI,no,no,no,no,no,,,0,,,
DEGEN,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
DEGO,yes,yes,yes,no,no,ccxt_gateio,DEGO/USDT,783,170969401.40029246,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
DENT,yes,no,yes,no,no,ccxt_gateio,DENT/USDT,211,18217502.860211022,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable,
DEXE,no,no,no,no,no,,,0,,,
DF,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
DGB,no,no,no,no,no,,,0,,,
DIA,no,no,no,no,no,,,0,,,
DMC,no,no,no,no,no,,,0,,,
DOCK,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
DODO,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
DOGE,no,yes,no,no,no,,,0,,true_data_gap,
DOGS,no,no,no,no,no,,,0,,,
DOLO,no,no,no,no,no,,,0,,,
DOT,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
DREP,yes,no,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable,
DUSK,no,no,no,no,no,,,0,,,
DYDX,no,no,no,no,no,,,0,,,
DYM,no,yes,no,no,no,,,0,,true_data_gap,
EDEN,no,no,no,no,no,,,0,,,
EDU,no,no,no,no,no,,,0,,,
EGLD,no,no,no,no,no,,,0,,,
EIGEN,no,yes,no,no,no,,,0,,true_data_gap,
ELF,no,no,no,no,no,ccxt_gateio,ELF/USDT,668,43559893.586507425,,
ENA,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
ENJ,no,no,no,no,no,,,0,,,
ENS,no,no,no,no,no,,,0,,,
ENSO,no,no,no,no,no,,,0,,,
EOS,no,no,no,no,no,,,0,,,
EPIC,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
EPT,no,no,no,no,no,,,0,,,
EPX,yes,no,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable,
ERC20,no,no,no,no,no,,,0,,unresolved_pair_or_symbol,
ESP,no,yes,no,no,no,,,0,,true_data_gap,
ETC,no,no,no,no,no,,,0,,,
ETH,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
EUL,no,no,no,no,no,,,0,,,
FARM,yes,yes,yes,no,no,ccxt_gateio,FARM/USDT,846,86229394.54761544,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
FET,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
FF,no,no,no,no,no,,,0,,,
FHE,no,no,no,no,no,,,0,,unresolved_pair_or_symbol,
FIDA,no,no,no,no,no,,,0,,,
FIL,no,no,no,no,no,,,0,,,
FIO,yes,yes,yes,no,no,ccxt_mexc,FIO/USDT,363,109656741.69896469,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
FIRO,yes,yes,yes,no,no,ccxt_mexc,FIRO/USDT,500,71301284.642952,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
FIS,no,no,no,no,no,ccxt_gateio,FIS/USDT,916,120148759.40254536,,
FLM,no,no,no,no,no,ccxt_mexc,FLM/USDT,359,376060375.31849587,,
FLOKI,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
FLOW,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
FLUX,no,no,no,no,no,,,0,,,
FOGO,no,yes,no,no,no,,,0,,true_data_gap,
FOOTBALL,no,yes,no,no,no,,,0,,true_data_gap,
FOR,yes,no,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable,
FORTH,yes,yes,yes,no,no,ccxt_mexc,FORTH/USDT,152,15458591.187176,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
FRONT,no,no,no,no,no,,,0,,,
FTM,no,no,no,no,no,,,0,,benchmark_gap,
FUN,yes,yes,yes,no,yes,ccxt_gateio,FUN/USDT,132,93777989.74602,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,manual_review_recommended
FXS,no,no,no,no,no,,,0,,,
GALA,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
GAS,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
GBP,no,yes,no,no,no,,,0,,true_data_gap,
GENIUS,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
GFT,yes,no,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable,
GHST,no,no,no,no,no,ccxt_mexc,GHST/USDT,193,27536995.200207,,
GIGGLE,no,yes,no,no,no,,,0,,true_data_gap,
GLMR,no,no,no,no,no,,,0,,,
GMT,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
GNS,no,no,no,no,no,,,0,,,
GPS,no,yes,no,no,no,,,0,,true_data_gap,
GRT,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
GTC,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
GUN,no,no,no,no,no,,,0,,,
HAEDAL,no,no,no,no,no,,,0,,,
HARD,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
HBAR,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
HEI,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
HEMI,no,no,no,no,no,,,0,,,
HFT,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
HIFI,yes,yes,yes,no,no,ccxt_mexc,HIFI/USDT,500,75747084.41697001,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
HIGH,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
HIPPO,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
HIVE,no,no,no,no,no,,,0,,,
HMSTR,no,no,no,no,no,,,0,,,
HOLO,no,no,no,no,no,,,0,,,
HOME,no,no,no,no,no,,,0,,,
HOOK,yes,yes,yes,no,no,ccxt_gateio,HOOK/USDT,979,411580919.524713,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
HOT,no,no,no,no,no,,,0,,,
HUMA,no,no,no,no,no,,,0,,,
HYPER,no,no,no,no,no,,,0,,,
ICP,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
ICX,no,no,no,no,no,,,0,,,
ID,no,no,no,no,no,,,0,,,
IDEX,yes,no,yes,no,no,ccxt_gateio,IDEX/USDT,986,116346654.77249002,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable,
IDRT,no,no,no,no,no,,,0,,unresolved_pair_or_symbol,
ILV,no,no,no,no,no,,,0,,,
IMX,no,no,no,no,no,,,0,,,
INIT,no,no,no,no,no,,,0,,,
INJ,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
IO,no,no,no,no,no,,,0,,,
IOST,no,no,no,no,no,,,0,,,
IOTA,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
IOTX,no,no,no,no,no,,,0,,,
IR,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
IRIS,no,no,no,no,no,ccxt_gateio,IRIS/USDT,278,32813966.491548114,,
JASMY,no,no,no,no,no,,,0,,,
JOE,no,no,no,no,no,,,0,,,
JTO,no,yes,no,no,no,,,0,,true_data_gap,
JUP,no,yes,no,no,no,,,0,,true_data_gap,
JUV,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
KAITO,no,no,no,no,no,,,0,,,
KAT,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
KAVA,no,no,no,no,no,,,0,,,
KDA,no,no,no,no,no,ccxt_gateio,KDA/USDT,884,1164092275.2876086,,
KERNEL,no,no,no,no,no,,,0,,,
KEY,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
KITE,no,no,no,no,no,,,0,,,
KMD,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
KMNO,no,yes,no,no,no,,,0,,true_data_gap,
KNC,no,no,no,no,no,,,0,,,
KP3R,yes,no,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable,
KSM,no,no,no,no,no,,,0,,,
LA,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
LAYER,no,no,no,no,no,,,0,,,
LAZIO,no,no,no,no,no,,,0,,,
LDO,no,no,no,no,no,,,0,,,
LEVER,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
LINA,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
LINEA,no,no,no,no,no,,,0,,,
LINK,no,no,no,no,no,,,0,,,
LISTA,no,no,no,no,no,,,0,,,
LIT,no,no,no,no,no,,,0,,,
LOKA,no,no,no,no,no,,,0,,,
LOOM,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
LPT,no,no,no,no,no,,,0,,,
LQTY,no,no,no,no,no,,,0,,,
LRC,yes,yes,yes,no,no,ccxt_mexc,LRC/USDT,159,34588789.716461,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
LSK,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
LTC,no,yes,no,no,no,,,0,,true_data_gap,
LTO,yes,no,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable,
MAGIC,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
MANA,no,no,no,no,no,,,0,,,
MANTA,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
MASK,no,no,no,no,no,,,0,,,
MATIC,no,yes,no,no,no,,,0,,true_data_gap,
MAV,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
MAVIA,no,yes,no,no,no,,,0,,true_data_gap,
MBL,no,no,no,no,no,,,0,,,
MBOX,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
MDT,yes,no,yes,no,no,ccxt_gateio,MDT/USDT,783,90999561.53012864,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable,
MDX,no,no,no,no,no,ccxt_gateio,MDX/USDT,316,12162783.84340479,,
ME,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
MEGA,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
MEME,no,no,no,no,no,,,0,,,
MET,no,yes,no,no,no,,,0,,true_data_gap,
METIS,no,yes,no,no,no,,,0,,true_data_gap,
MILK,no,no,no,no,no,,,0,,,
MINA,no,no,no,no,no,,,0,,,
MIRA,no,no,no,no,no,,,0,,,
MITO,no,no,no,no,no,,,0,,,
MKR,no,no,no,no,no,,,0,,,
MLN,yes,yes,yes,no,no,ccxt_gateio,MLN/USDT,729,128863845.63639434,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
MMT,no,no,no,no,no,,,0,,,
MOB,no,no,no,no,no,ccxt_gateio,MOB/USDT,206,67621730.27055034,,
MORPHO,no,no,no,no,no,,,0,,,
MOVE,no,no,no,no,no,,,0,,,
MOVR,no,no,no,no,no,,,0,,,
MTL,no,no,no,no,no,,,0,,,
MULTI,no,no,no,no,no,ccxt_gateio,MULTI/USDT,227,9462793.52242217,,
MYRO,no,no,no,no,no,,,0,,,
NEAR,no,no,no,no,no,,,0,,,
NEIRO,no,yes,no,no,no,,,0,,true_data_gap,
NEIROETH,no,no,no,no,no,,,0,,,
NEO,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
NEWT,no,no,no,no,no,,,0,,,
NFP,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
NIL,no,no,no,no,no,,,0,,,
NKN,no,no,no,no,no,ccxt_mexc,NKN/USDT,435,283491781.17265964,,
NMR,no,no,no,no,no,,,0,,,
NOM,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
NON,no,no,no,no,no,,,0,,unresolved_pair_or_symbol,
NOT,no,no,no,no,no,,,0,,,
NTRN,yes,yes,yes,no,no,ccxt_mexc,NTRN/USDT,464,85090148.55282,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
NULS,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
NXPC,no,no,no,no,no,,,0,,,
OAX,yes,no,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable,
OBOL,no,no,no,no,no,,,0,,,
OCEAN,no,no,no,no,no,,,0,,,
OG,no,no,no,no,no,,,0,,,
OGN,no,no,no,no,no,,,0,,,
OL,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
OM,no,yes,no,no,no,,,0,,true_data_gap,
OMG,no,no,no,no,no,ccxt_mexc,OMG/USDT,316,52818837.065877795,,
OMNI,no,no,no,no,no,,,0,,,
ONE,no,no,no,no,no,,,0,,,
ONT,no,no,no,no,no,,,0,,,
OOKI,yes,no,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable,
OP,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
OPG,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
ORBS,no,no,no,no,no,,,0,,,
ORCA,no,yes,no,no,no,,,0,,true_data_gap,
ORDI,no,yes,no,no,no,,,0,,true_data_gap,
OSMO,no,no,no,no,no,,,0,,,
OXT,yes,yes,yes,no,no,ccxt_mexc,OXT/USDT,162,18890276.20478387,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
PAXG,no,no,no,no,no,,,0,,,
PDA,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
PEOPLE,no,no,no,no,no,,,0,,,
PERL,yes,no,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable,
PERP,no,no,no,no,no,ccxt_gateio,PERP/USDT,899,171830477.94978744,,
PHA,no,no,no,no,no,,,0,,,
PHB,yes,yes,yes,no,no,ccxt_gateio,PHB/USDT,972,231347237.38343957,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
PIVX,no,no,no,no,no,,,0,,,
PIXEL,no,no,no,no,no,,,0,,,
PLUME,no,no,no,no,no,,,0,,,
PNT,yes,no,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable,
PNUT,no,yes,no,no,no,,,0,,true_data_gap,
POLS,no,no,no,no,no,ccxt_kucoin,POLS/USDT,304,55182316.00278045,,
POLYX,no,no,no,no,no,,,0,,,
POND,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
PONKE,no,no,no,no,no,,,0,,,
PORT3,no,no,no,no,no,,,0,,,
PORTAL,no,no,no,no,no,,,0,,,
PORTO,no,no,no,no,no,,,0,,,
POWR,no,no,no,no,no,,,0,,,
PROM,no,no,no,no,no,,,0,,,
PROS,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
PROVE,no,no,no,no,no,,,0,,,
PSG,no,no,no,no,no,,,0,,,
PUFFER,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
PUMP,no,yes,no,no,no,,,0,,true_data_gap,
PUNDIX,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
PYR,no,no,no,no,no,,,0,,,
PYTH,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
QI,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
QKC,no,no,no,no,no,,,0,,,
QNT,no,no,no,no,no,,,0,,,
QTUM,no,no,no,no,no,,,0,,,
QUICK,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
RAD,no,no,no,no,no,,,0,,,
RARE,no,no,no,no,no,,,0,,,
RAY,no,no,no,no,no,,,0,,,
RDNT,yes,yes,yes,no,no,ccxt_gateio,RDNT/USDT,811,192035421.855215,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
RED,no,yes,no,no,no,,,0,,true_data_gap,
REEF,no,no,no,no,yes,ccxt_gateio,REEF/USDT,578,1228324578.7683854,,manual_review_recommended
REI,yes,yes,yes,no,no,,,0,,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
REMOVE,no,no,no,no,no,,,0,,benchmark_gap;unresolved_pair_or_symbol,
REN,no,no,no,no,no,ccxt_gateio,REN/USDT,130,29886210.793495346,,
RENDER,no,no,no,no,no,,,0,,,
REQ,no,no,no,no,no,,,0,,,
RESOLV,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
REZ,no,no,no,no,no,,,0,,,
RIF,no,no,no,no,no,,,0,,,
RLC,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
RLS,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
RNDR,no,no,no,no,no,,,0,,,
ROBO,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
RONIN,no,yes,no,no,no,,,0,,true_data_gap,
ROSE,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
RPL,no,no,no,no,no,,,0,,,
RSR,no,no,no,no,no,,,0,,,
RUNE,no,no,no,no,no,,,0,,,
RVN,no,no,no,no,no,,,0,,,
RVV,no,no,no,no,no,,,0,,,
SAGA,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
SAHARA,no,no,no,no,no,,,0,,,
SAND,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
SANTOS,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
SAPIEN,no,no,no,no,no,,,0,,,
SC,no,no,no,no,no,,,0,,,
SCR,no,yes,no,no,no,,,0,,true_data_gap,
SCRT,no,no,no,no,no,,,0,,,
SENT,no,yes,no,no,no,,,0,,true_data_gap,
SFP,no,no,no,no,no,,,0,,,
SHELL,no,no,no,no,no,,,0,,,
SHIB,no,no,no,no,no,,,0,,,
SIGN,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
SKATE,no,no,no,no,no,,,0,,,
SKL,no,no,no,no,no,,,0,,,
SLERF,no,no,no,no,no,,,0,,,
SLF,no,no,no,no,no,ccxt_mexc,SLF/USDT,188,96938268.92561218,,
SLP,no,yes,no,no,no,,,0,,true_data_gap,
SNM,no,no,no,no,no,,,0,,unresolved_pair_or_symbol,
SNT,no,no,no,no,no,ccxt_gateio,SNT/USDT,467,236428070.36303005,,
SNX,no,no,no,no,no,,,0,,,
SOL,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
SOLV,no,yes,no,no,no,,,0,,benchmark_gap;true_data_gap,
