token_entity_id,token_symbol,token_name,first_monitoring_tag_datetime_utc,first_seed_tag_datetime_utc,vote_to_delist_datetime_utc,vote_to_delist_result,monitoring_tag_removed_datetime_utc,seed_tag_removed_datetime_utc,delisting_announcement_datetime_utc,effective_delisting_datetime_utc,was_delisted_after_tag,was_delisted_without_known_prior_tag,days_from_monitoring_tag_to_delisting,days_from_monitoring_tag_to_tag_removal,final_outcome,primary_scenario_stub,event_count,has_pair_removal_control_event,manual_review_required,entity_notes
BOND,BOND,,2023-10-04T06:00:16Z,,,,,,2024-07-08T07:01:09Z,2024-07-22T03:00:00Z,yes,no,278,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,4,yes,no,
BONK,BONK,Binance Will List Bonk,,2023-12-15T03:58:33Z,,,,2025-07-21T02:29:56Z,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
BREV,BREV,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
BSC,BSC,from the Doge meme community as a memecoin on Binance Smart Chain,,2024-09-16T05:45:02Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,1,no,no,
BSW,BSW,,2025-04-03T07:00:36Z,,,,,,2025-06-26T07:00:09Z,2025-07-04T03:00:00Z,yes,no,83,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,4,yes,no,
BTC,BTC,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,2,yes,no,pair_removal_observed_but_not_token_delisting
BTS,BTS,,,,,,,,2023-11-27T06:00:26Z,2023-12-07T03:00:00Z,no,yes,,,delisted_without_known_tag,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,1,no,no,
BURGER,BURGER,,2025-03-04T08:01:22Z,,2025-03-21T05:50:20Z,,,,2025-03-21T05:50:20Z,2025-03-28T03:00:00Z,yes,no,16,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,4,yes,no,
C98,C98,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
CAKE,CAKE,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
CATI,CATI,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
CELO,CELO,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
CELR,CELR,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
CETUS,CETUS,Binance Will List Cow Protocol (COW) and Cetus Protocol,,2024-11-06T05:10:07Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,1,no,no,
CFG,CFG,Binance Will List Centrifuge,,2026-03-16T10:22:39Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,1,no,no,
CFX,CFX,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
CGPT,CGPT,"Binance Will List aixbt by Virtuals (AIXBT), ChainGPT",,2025-01-10T08:55:27Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,1,no,no,
CHESS,CHESS,,2025-12-01T04:30:24Z,,,,,,2026-02-02T08:59:52Z,2026-02-13T03:00:00Z,yes,no,63,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,4,yes,no,
CHIP,CHIP,Binance Will List Chip,,2026-04-21T12:00:32Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,1,no,no,
CHR,CHR,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,4,yes,no,pair_removal_observed_but_not_token_delisting
CHZ,CHZ,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,6,yes,no,pair_removal_observed_but_not_token_delisting
CITY,CITY,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
CLV,CLV,,2024-10-03T07:00:05Z,,,,,,2025-02-17T07:00:24Z,2025-02-24T03:00:00Z,yes,no,137,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,2,no,no,
CML,CML,&nbsp; If the Collateral Margin Level,,,2025-03-21T05:50:20Z,published,,,,,no,no,,,unknown,UNKNOWN,2,no,no,
COMBO,COMBO,,2025-03-04T08:01:22Z,,2025-03-21T05:50:20Z,,,,2025-03-21T05:50:20Z,2025-03-28T03:00:00Z,yes,no,16,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,4,yes,no,
COMMON,COMMON,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,
COMP,COMP,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
COOKIE,COOKIE,"Will List aixbt by Virtuals (AIXBT), ChainGPT(CGPT), Cookie DAO",2026-05-22T08:00:04Z,2025-01-10T08:55:27Z,,,,,,,no,no,,,still_tagged,PENDING_PRICE_ANALYSIS,2,no,no,
COS,COS,,2026-03-06T08:29:56Z,,,,,,2026-06-05T07:00:07Z,2026-06-19T03:00:00Z,yes,no,90,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,4,yes,no,
COTI,COTI,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
COW,COW,Binance Will List Cow Protocol,,2024-11-06T05:10:07Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,1,no,no,
CREAM,CREAM,Badger DAO (BADGER) Balancer (BAL) Beta Finance (BETA) Cream Finance,,,,published,,,2025-04-08T06:00:07Z,2025-04-16T03:00:00Z,no,yes,,,delisted_without_known_tag,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,2,no,no,
CRV,CRV,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
CTK,CTK,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,
CTSI,CTSI,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
CTXC,CTXC,,2024-07-01T07:00:03Z,,,published,,,2025-04-08T06:00:07Z,2025-04-16T03:00:00Z,yes,no,280,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,4,yes,no,
CUDIS,CUDIS,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,
CVP,CVP,,2024-07-01T07:00:03Z,,,,,,2024-08-12T07:00:11Z,2024-08-26T03:00:00Z,yes,no,42,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,3,yes,no,
CVX,CVX,,2024-07-01T07:00:03Z,,,,2025-01-02T09:00:19Z,,,,no,no,,185,tag_removed,TAG_REMOVED_PENDING_PRICE_ANALYSIS,4,yes,no,pair_removal_observed_but_not_token_delisting
CYBER,CYBER,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
D,D,Dar Open Network,,,,,,,2026-06-05T07:00:07Z,2026-06-19T03:00:00Z,no,yes,,,delisted_without_known_tag,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,1,no,no,
DAM,DAM,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,
DAR,DAR,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,4,yes,no,pair_removal_observed_but_not_token_delisting
DASH,DASH,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
DATA,DATA,,2026-01-02T10:59:57Z,,,,,,2026-02-02T08:59:52Z,2026-02-13T03:00:00Z,yes,no,30,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,3,yes,no,
DCR,DCR,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
DEFI,DEFI,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,
DEGEN,DEGEN,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,
DEGO,DEGO,,2026-03-06T08:29:56Z,,,,,,2026-04-17T09:00:06Z,2026-04-28T03:00:00Z,yes,no,42,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,3,yes,no,
DENT,DENT,,2025-12-01T04:30:24Z,,,,,,2026-04-17T09:00:06Z,2026-04-28T03:00:00Z,yes,no,137,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,3,yes,no,
DEXE,DEXE,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
DF,DF,,2025-12-01T04:30:24Z,,,,,,2026-02-02T08:59:52Z,2026-02-13T03:00:00Z,yes,no,63,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,2,no,no,
DGB,DGB,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,2,yes,no,pair_removal_observed_but_not_token_delisting
DIA,DIA,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
DMC,DMC,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,1,no,no,
DOCK,DOCK,,2024-07-01T07:00:03Z,,,,,,2024-07-08T07:01:09Z,2024-07-22T03:00:00Z,yes,no,7,,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,2,no,no,
DODO,DODO,,2026-05-22T08:00:04Z,,,,,,,,no,no,,,still_tagged,PENDING_PRICE_ANALYSIS,4,yes,no,pair_removal_observed_but_not_token_delisting
DOGE,DOGE,,,,,,,,,,no,no,,,futures_only_delisting,FUTURES_ONLY_DELISTING,2,yes,no,pair_removal_observed_but_not_token_delisting
DOGS,DOGS,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
DOLO,DOLO,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,2,yes,no,pair_removal_observed_but_not_token_delisting
DOT,DOT,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
DREP,DREP,,,,,,,,2024-03-20T06:00:07Z,2024-04-03T03:00:00Z,no,yes,,,delisted_without_known_tag,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,2,yes,no,
DUSK,DUSK,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,1,yes,no,pair_removal_observed_but_not_token_delisting
DYDX,DYDX,,,,,,,,,,no,no,,,spot_pair_removed_only,PAIR_REMOVAL_ONLY,4,yes,no,pair_removal_observed_but_not_token_delisting
DYM,DYM,Binance Will List Dymension,,2024-02-06T09:26:57Z,,,,,,,no,no,,,seed_tag_only,SEED_TAG_ONLY,3,yes,no,pair_removal_observed_but_not_token_delisting
